Date,CLOSE
2019-08-20,11.133
2019-08-21,11.355
2019-08-22,10.928
2019-08-23,10.55
2019-08-27,9.996
2019-08-28,10.155
2019-08-29,10.56
2019-08-30,12.751
2019-09-02,11.933
2019-09-03,12.14
2019-09-04,
2019-09-06,12.461
2019-09-09,12.34
2019-09-10,14.505
2019-09-11,14.667
2019-09-12,14.66
2019-09-13,15.063
2019-09-16,15.503
2019-09-17,13.679
2019-09-18,12.485
2019-09-19,12.64
2019-09-20,12.676
2019-09-23,12.155
2019-09-24,12.399
2019-09-25,11.938
2019-09-26,11.974
2019-09-27,11.81
2019-09-30,16.544
2019-10-01,16.857
2019-10-02,16.047
2019-10-03,16.107
2019-10-04,15.84
2019-10-07,15.569
2019-10-08,15.688
2019-10-09,15.633
2019-10-10,15.889
2019-10-11,16.168
2019-10-14,16.095
2019-10-15,16.112
2019-10-16,16.075
2019-10-17,15.973
2019-10-18,15.885
2019-10-21,15.527
2019-10-22,15.564
2019-10-23,15.359
2019-10-24,15.598
2019-10-25,15.181
2019-10-28,14.333
2019-10-29,13.815
2019-10-30,13.7
2019-10-31,16.116
2019-11-01,16.229
2019-11-04,16.481
2019-11-05,16.761
2019-11-06,
2019-11-08,15.837
2019-11-11,15.727
2019-11-12,15.395
2019-11-13,15.285
2019-11-14,15.514
2019-11-15,15.574
2019-11-18,15.098
2019-11-19,15.135
2019-11-20,15.411
2019-11-21,15.511
2019-11-22,15.973
2019-11-25,16.171
2019-11-26,15.752
2019-11-27,15.847
2019-11-28,15.51
2019-11-29,16.269
2019-12-02,15.672
2019-12-03,15.539
2019-12-04,15.672
2019-12-05,15.174
2019-12-06,14.901
2019-12-09,14.649
2019-12-10,14.318
2019-12-11,13.824
2019-12-12,14.528
2019-12-13,13.515
2019-12-16,13.69
2019-12-17,14.2
2019-12-18,14.584
2019-12-19,14.69
2019-12-20,13.95
2019-12-23,12.808
2019-12-24,12.441
2019-12-27,12.496
2019-12-30,12.11
2019-12-31,12.0
2020-01-02,11.818
2020-01-03,12.645
2020-01-06,12.032
2020-01-07,11.615
2020-01-08,11.745
2020-01-09,11.983
2020-01-10,11.749
2020-01-13,11.865
2020-01-14,11.122
2020-01-15,10.975
2020-01-16,10.94
2020-01-17,10.726
2020-01-20,10.376
2020-01-21,10.65
2020-01-22,10.299
2020-01-23,10.245
2020-01-24,10.32
2020-01-27,10.404
2020-01-28,10.631
2020-01-29,9.97
2020-01-30,9.68
2020-01-31,9.616
2020-02-03,9.083
2020-02-04,9.334
2020-02-05,9.266
2020-02-06,9.075
2020-02-07,8.995
2020-02-10,8.568
2020-02-11,8.441
2020-02-12,8.604
2020-02-13,8.773
2020-02-14,8.724
2020-02-17,9.165
2020-02-18,9.237
2020-02-19,9.504
2020-02-20,9.527
2020-02-21,9.31
2020-02-24,9.0
2020-02-25,8.961
2020-02-26,9.055
2020-02-27,8.78
2020-02-28,8.778
2020-03-02,8.803
2020-03-03,9.056
2020-03-04,8.84
2020-03-05,8.822
2020-03-06,8.561
2020-03-09,8.542
2020-03-10,8.884
2020-03-11,9.263
2020-03-12,9.2
2020-03-13,9.248
2020-03-16,8.744
2020-03-17,8.368
2020-03-18,8.135
2020-03-19,8.447
2020-03-20,8.211
2020-03-23,7.713
2020-03-24,7.788
2020-03-25,7.593
2020-03-26,7.425
2020-03-27,7.13
2020-03-30,6.77
2020-03-31,6.829
2020-04-01,6.725
2020-04-02,6.825
2020-04-03,6.829
2020-04-06,7.191
2020-04-07,7.235
2020-04-08,7.261
2020-04-09,7.225
2020-04-14,6.828
2020-04-15,6.606
2020-04-16,6.839
2020-04-17,6.886
2020-04-20,6.462
2020-04-21,6.177
2020-04-22,6.075
2020-04-23,5.912
2020-04-24,5.629
2020-04-27,5.749
2020-04-28,6.005
2020-04-29,5.86
2020-04-30,6.074
2020-05-04,5.59
2020-05-05,5.475
2020-05-06,5.57
2020-05-07,5.69
2020-05-08,5.75
2020-05-11,5.494
2020-05-12,5.2
2020-05-13,4.9
2020-05-14,5.096
2020-05-15,5.007
2020-05-18,4.716
2020-05-19,4.4
2020-05-20,4.245
2020-05-21,3.6
2020-05-22,3.763
2020-05-25,4.554
2020-05-26,3.86
2020-05-27,3.401
2020-05-28,3.25
2020-05-29,4.241
2020-06-01,
2020-06-02,
2020-06-03,5.173
2020-06-04,5.242
2020-06-05,5.68
2020-06-08,5.087
2020-06-09,4.828
2020-06-10,4.61
2020-06-11,4.862
2020-06-12,5.134
2020-06-15,5.397
2020-06-16,5.115
2020-06-17,5.09
2020-06-18,5.392
2020-06-19,5.441
2020-06-22,5.429
2020-06-23,5.615
2020-06-24,5.483
2020-06-25,5.093
2020-06-26,4.93
2020-06-29,5.68
2020-06-30,6.068
2020-07-01,5.778
2020-07-02,
2020-07-03,5.964
2020-07-06,5.984
2020-07-07,6.014
2020-07-08,5.812
2020-07-09,5.64
2020-07-10,5.359
2020-07-13,4.992
2020-07-14,4.963
2020-07-15,5.08
2020-07-16,4.934
2020-07-17,5.006
2020-07-20,4.61
2020-07-21,4.709
2020-07-22,4.752
2020-07-23,4.881
2020-07-24,4.875
2020-07-27,4.718
2020-07-28,4.899
2020-07-29,5.05
2020-07-30,5.109
2020-07-31,5.926
2020-08-03,6.681
2020-08-04,7.317
