Date,HIGH,LOW,OPEN,CLOSE,VOLUME,ticker
2021-03-30,,,,18.63,,PPEGMc1
2021-03-31,18.95,18.95,18.95,18.815,120,PPEGMc1
2021-04-01,,,,18.956,720,PPEGMc1
2021-04-06,,,,19.594,720,PPEGMc1
2021-04-07,,,,19.112,720,PPEGMc1
2021-04-08,,,,18.826,,PPEGMc1
2021-04-09,,,,18.73,720,PPEGMc1
2021-04-12,,,,19.413,,PPEGMc1
2021-04-13,,,,19.287,720,PPEGMc1
2021-04-14,,,,19.442,1320,PPEGMc1
2021-04-15,,,,20.026,720,PPEGMc1
2021-04-16,,,,20.359,2976,PPEGMc1
2021-04-19,,,,20.684,312,PPEGMc1
2021-04-20,,,,20.86,,PPEGMc1
2021-04-21,,,,20.886,240,PPEGMc1
2021-04-22,,,,21.065,,PPEGMc1
2021-04-23,19.7,19.7,19.7,19.776,120,PPEGMc1
2021-04-26,,,,19.704,1440,PPEGMc1
2021-04-27,,,,21.145,,PPEGMc1
2021-04-28,21.275,21.275,21.275,21.28,48,PPEGMc1
2021-04-29,21.85,21.45,21.45,22.26,1000,PPEGMc1
2021-04-30,,,,23.002,,PPEGMc1
2021-05-03,,,,23.634,,PPEGMc1
2021-05-04,23.42,23.42,23.42,22.925,120,PPEGMc1
2021-05-05,23.4,23.4,23.4,23.844,18,PPEGMc1
2021-05-06,24.45,24.45,24.45,24.365,728,PPEGMc1
2021-05-07,,,,23.785,720,PPEGMc1
2021-05-10,,,,24.942,,PPEGMc1
2021-05-11,25.45,25.425,25.425,25.525,726,PPEGMc1
2021-05-12,,,,26.254,720,PPEGMc1
2021-05-13,,,,26.034,,PPEGMc1
2021-05-14,,,,26.523,,PPEGMc1
2021-05-17,,,,26.117,720,PPEGMc1
2021-05-18,25.225,25.225,25.225,24.51,1320,PPEGMc1
2021-05-19,,,,22.399,,PPEGMc1
2021-05-20,,,,24.153,720,PPEGMc1
2021-05-21,,,,24.243,720,PPEGMc1
2021-05-24,,,,24.314,120,PPEGMc1
2021-05-25,,,,25.858,840,PPEGMc1
2021-05-26,26.27,26.025,26.25,25.999,1056,PPEGMc1
2021-05-27,25.9,25.75,25.75,24.816,1260,PPEGMc1
2021-05-28,,,,24.66,960,PPEGMc1
2021-05-31,,,,24.879,,PPEGMc1
2021-06-01,25.8,25.8,25.8,25.711,1200,PPEGMc1
2021-06-02,25.6,25.025,25.55,25.406,960,PPEGMc1
2021-06-03,,,,25.399,720,PPEGMc1
2021-06-04,25.35,25.35,25.35,25.482,1200,PPEGMc1
2021-06-07,26.05,26.05,26.05,26.199,480,PPEGMc1
2021-06-08,27.15,27.15,27.15,27.49,3048,PPEGMc1
2021-06-09,28.15,28.1,28.1,28.06,2700,PPEGMc1
